Name,Industry,Number of employees,Website,Key people,Revenue,Founded,Headquarters
Altus Group Limited,Real Estate Services and Software,"2,500",https://www.altusgroup.com,Robert Courteau ( Chief executive officer ),C$478 million,2005,"Toronto , Ontario , Canada"
Aecon Group Inc.,"Construction , Infrastructure Development ,","12,000+",http://www.aecon.com,"Jean-Louis Servranckx President and CEO John Beck Executive Chairman David Smales CFO Yonni Fushman Executive Vice President, Chief Legal Officer and Secretary",,"1877 Hamilton, Ontario","Toronto , Calgary , Vancouver , Canada"
Advanz Pharma,Pharmaceutical industry,,https://www.advanzpharma.com,Graeme Duncan CEO ) Adeel Ahmad ( CFO ) [2],$537 million (2018) [3],1963,"Toronto , Ontario , Canada [1]"
Algonquin Power and Utilities Corp,"Electric generation Transmission Water, gas and electric utilities","2,200 (2017)",http://www.algonquinpower.com,"Ian E. Robertson , CEO",C$2 B,1988,"Oakville, Ontario , Canada"
Agnico Eagle Mines Limited,Mining & Gold Producers & Products Manufacturing,8400 (Jan 2018) [2],https://www.agnicoeagle.com,James D. Nasso ( Chairman of the Board ) Sean Boyd ( CEO ),$ 2.875 billion (2016) [1],1953 as Cobalt Consolidated Mining Company,"Toronto , Ontario , Canada"
AltaGas Ltd.,Petroleum Industry Power Generation Gas Utilities,"1,632",http://www.altagas.ca/,Pentti Karkkainen Chairman of the Board Randall Crawford Chief Executive Officer,C$ 4.26 Billion (2018) [1],"April 1, 1994","Calgary , Alberta , Canada"
Algoma Central Corporation,Shipping,"1,400 [1]",http://www.algonet.com,Gregg Ruhl,,,"63 Church Street Suite 600 St. Catharines , Ontario L2R 3C4"
Absolute Software Corporation,Computer software,,https://www.absolute.com/en/,"Christy Wyatt ( CEO ) , Errol Olsen ( CFO ) , Sean Maxwell ( CCO )",,1993,"Vancouver , British Columbia , Canada"
Alderon Iron Ore Corp,"Mining , Iron Production",,http://www.alderonironore.com/,"Tayfun Eldem, (President & CEO ) Mark Morabito, (Chairman)",,,"Canada , Montreal , Quebec"
Advantage Oil & Gas Ltd.,Oil and natural gas,26 (2012) [1],http://www.advantageog.com,"Andy J. Mah (CEO) , Craig Blackwood , Vice President, Finance & CFO , Neil Bokenfohr , Senior Vice President",225 million CAD (2018),"Calgary , Alberta (2001)","Calgary, Alberta"
Aimia Inc.,Management,,"https://corp.aimia.com/,https://www.wikidata.org/wiki/Q17507558?uselang=en#P856","Bill McEwan ( Chairman ), Jeremy Rabe ( Group Chief Executive )",,2011,"Montreal , Quebec , Canada"
Morguard Corporation,Real estate,,https://www.morguard.com/,K. Rai Sahi ( Chief executive officer ),,1905,"Mississauga , Ontario , Canada"
Molson Coors Brewing Company,Beverages,"17,200 (2017) [2]",http://www.molsoncoors.com,"Pete Coors , ( Chairman ) Geoff Molson , ( Vice chairman ) Mark Hunter, ( President and CEO )",US$4.8 billion (2016) [1],"Molson (1786), Coors (1873), merged (2005)","Montreal , Québec , Canada"
Air Canada,,,http://aircanada.com,Vagn Sørensen (Chairman) Calin Rovinescu ( President & CEO) [7],CAN$ 18.065 billion (2018) [8],10 April 1937 ; 82 years ago ( 1937-04-10 ) (as Trans-Canada Air Lines ) [1] [2] 1 January 1965 (as Air Canada),"Montreal , Quebec , Canada"
"A&W Food Services of Canada, Inc.",Fast food,"35,160 (2016)",https://aw.ca,Susan Senecal ( CEO & President),$99.4 million CAD (2016) [2],"Winnipeg , Manitoba , Canada (1956 ; 63 years ago ( 1956 ) )","North Vancouver , British Columbia , Canada"
Mogo Inc.,Financial services,,https://mogo.ca,,,2003,"Vancouver , British Columbia"
5N Plus,Refining Recycling,138 ( Fiscal 2009),"http://www.5nplus.com/,https://www.wikidata.org/wiki/Q245386?uselang=en#P856","Dennis Wood Chairman Jacques L'Écuyer Founder, President / CEO and Director David Langlois CFO Marc Suys Founder & Vice President Nicholas Audet Vice President Jean Bernier General Manager",C$ 493.2 million ( Fiscal 2011),"Saint-Laurent, Quebec (2000)","Saint-Laurent, Quebec , Canada"
Methanex Corporation,Methanol,,http://www.methanex.com/,"John Floren, CEO Ian Cameron, CFO",,,"Vancouver, British Columbia , Canada"
Buhler Industries Inc.,Farm & Construction Machinery,1100,https://www.buhlerindustries.com/,"Marat Nogerov, President",,,"Winnipeg , Manitoba , Canada"
Maxim Power Corporation,Power generation,,http://www.maximpowercorp.com,"Bruce Chernoff, interim CEO",,,"Calgary , Canada"
MEG Energy Corp.,Oil and gas industry,485 (June 2013),http://www.megenergy.com,"Derek W. Evans [1] chair, pres, ceo Dale Hohm cfo Jamey Fitzgibbon vp spec. proj",$1050.504 million (2012) [3],1999 by William J McCaffery as  McCaffery Energy Group Inc,"Calgary , Alberta, Canada"
Metro Inc.,Supermarket,"65,000 (2013) [2]","https://www.metro.ca/,https://www.corpo.metro.ca/","Eric R. La Flèche ( President and CEO ) [1] François Thibault ( Senior Vice President , CFO , Treasurer ) [1]","CAD$ 11,402.8 million (2013) [2]","1947 ( 1947 ) in Verdun, Quebec , Canada","Montreal, Quebec , Canada"
Maxar Technologies Inc.,"Information technology services, Engineering services, Communications satellite","5,900 (2019)",http://www.maxar.com,Daniel Jablonsky (President and CEO) [2] Walter Scott (CTO) Biggs Porter (CFO) Andrea Bortner (CHRO),$2.141 billion (2018) [3],1969,"Westminster, Colorado , United States [1]"
Martinrea International Inc.,,"14,000+ [2]","http://www.martinrea.com/,https://www.wikidata.org/wiki/Q1595029?uselang=en#P856","Rob Wildeboer, executive chairman; Pat D'Eramo, president and chief executive officer; Fred Di Tosto, chief financial officer; Armando Paglierli, executive vice president of human resources; Andre Le Rosa, chief technology officer; Kerri Pope, executive vice president of legal; Rob Fairchild, executive vice president of sales & engineering; Juan Nardiz, executive vice president-aluminum; David Rashid, executive vice president-fluids;Bruce Johnson, executive vice president-metallics; Rocco Marianaccio, executive vice president-flexible manufacturing",CAD$3.9 Billion (2017) [1],,"Vaughan , Ontario , Canada"
Manulife Financial Corporation.,Financial Services ( Insurance ),"34,000 employees and 63,000 agents (2015) [2]",http://www.manulife.com/,"Roy Gori , president and chief executive officer Richard DeWolfe , chairman of the board of directors",CA$ 53.3 billion (2016) [1],1887 ; 132 years ago ( 1887 ),"Toronto , Ontario , Canada"
"Maple Leaf Foods, Inc.",Foods,"24,000 (2008) [1]",http://www.mapleleaf.ca/,"Michael McCain , Chief Executive Officer",,"Toronto , Ontario (1927)","6897 Financial Drive, Mississauga, Ontario, Canada"
Magna International Inc.,Manufacturing,"169,000 (2019) [2]",https://www.magna.com/,"Donald Walker , CEO Tommy J. Skudutis, Executive VP & COO Vincent J. Galifi, Executive VP & CFO Swamy Kotagiri, CTO James J. Tobin, CMO & President Magna Asia",US$ 40.82 billion (2018) [1],1957 ; 62 years ago ( 1957 ),"Aurora, Ontario , Canada"
Lundin Mining Corporation,Mining,"8,910 employees and contractors",http://www.lundinmining.com/,"Lukas Lundin , chairman Paul Conibear, CEO",$1.725 billion,1994 ; 25 years ago ( 1994 ) [1],"Toronto , Ontario , Canada"
Lucara Diamond Corp.,Mining,,http://www.lucaradiamond.com/,"Lukas Lundin (Chairman) Eira Thomas
(President and CEO)",$265 million (2014),2004 ; 15 years ago ( 2004 ),"Suite 2000 885 West Georgia Street, Vancouver, BC , Canada"
Magellan Aerospace Corporation,Aerospace,"3,000 [3]",http://www.magellan.aero,N. Murray Edwards ( Chairman ) Phillip Underwood ( President & CEO ),C$ 843 million (2014) [2],1996 ; 23 years ago ( 1996 ),"Mississauga , Ontario , Canada [1]"
Major Drilling Group International Inc.,Drilling,"2,400 [1]",https://web.archive.org/web/20070718182846/http://www.majordrilling.com/index.cfm,Denis Larocque [1],,"Moncton , New Brunswick (1980)","Moncton , New Brunswick , Canada"
Linamar Corporation,"Automotive, Manufacturing of high precision machined and assembled components","25,700 worldwide (2018) [1]",http://www.linamar.com/,Frank Hasenfratz - Chairman Linda Hasenfratz - CEO,,"August 17, 1966 by Frank Hasenfratz as Linamar Machine Limited in Ariss, Ontario","Guelph , Ontario , Canada"
Leon's Furniture Ltd.,Home Furnishing Stores,"2,864 [2]",https://www.leons.ca/,"Edward Leon, President / CEO Constantine Pefanis, CFO Mike Walsh, President, Leon's Division Dave Freeman, President, The Brick Division",CAD 2.24 Billion (2018) [1],"Welland, Ontario , Canada (1909)","Toronto, Ontario , Canada"
Loblaw Companies Limited,Retail,"135,000 (2012) [1]",http://www.loblaw.ca/,Galen Weston Jr. (Executive Chairman),$45.394 billion CAD (2015) [1],"Toronto , Ontario , Canada (1956)","Brampton , Ontario, Canada"
Laurentian Bank of Canada,Chartered Banks,"3,600 (2016) [1]",http://www.laurentianbank.ca,François Desjardins ( President & CEO ),$915.5 million (2016),1846,"Montreal , Quebec , Canada"
Seabridge Gold Inc.,Mining,,http://www.seabridgegold.net,"Rudi P. Fronk, Chairman and CEO; Jay Layman, President and COO; Chris Reynolds, VP Finance and CFO",,1979 as Copper Mines Ltd.,"Toronto , Ontario , Canada"
Parkland Fuel Corporation,Fuel Retailing,,http://www.parkland.ca,Bob Espey ( President and Chief executive officer ),,,"Calgary , Alberta , Canada"
Lassonde Industries Inc.,,"2,100 [ citation needed ]",http://www.lassonde.com/en,Pierre-Paul Lassonde : Chairman,,1918 ; 101 years ago ( 1918 ) [1],"Rougemont , Quebec , Canada"
Yellow Pages Group,,986,http://corporate.yp.ca/en/,David Eckert,,1908 ; 111 years ago ( 1908 ),
Yellow Pages Limited,Media,"1,150",https://corporate.yp.ca,,,1908 ; 111 years ago ( 1908 ) (as Yellow Media),"1751 Richardson St., Montreal , Quebec , Canada"
Yamana Gold Inc.,Gold Ores,"12,471 [1]",http://www.yamana.com,Peter Marrone (Founder & Executive Chairman) Daniel Racine (President & CEO),,,"Toronto , Ontario , Canada"
WSP Global Inc.,"Design, Engineering consulting , Environmental consulting, Planning, Professional services","48,000 (2018) [1]",http://www.wsp.com,Alexandre L'Heureux ( President and CEO ),C$ 6.4 billion (2016) [1],1959 ; 60 years ago ( 1959 ),"Montreal , Quebec , Canada"
The Bank of Nova Scotia,"Banking , Financial services","88,645 (2017) [2]",http://scotiabank.com/,Brian J. Porter (President and CEO) Sean McGuckin (CFO),C$ 28.8 billion (2018) [2],"30 March 1832 ; 187 years ago ( 1832-03-30 ) Halifax, Nova Scotia , Canada","Toronto , Ontario , Canada [1]"
Zymeworks Inc.,Biotechnology,155 (45 PhDs),http://www.zymeworks.com/,Ali Tehrani Donald L. Drakeman,,2003,"Vancouver , British Columbia , Canada"
Winpak Ltd.,Packaging & Containers,"1,671 [1]",http://www.winpak.com,James Holland,,,"Winnipeg, Manitoba , Canada"
Silver Wheaton Corp.,"Mining , Silver streaming",35 [2] (2016),http://www.wheatonpm.com,Peter D. Barnes (CEO) Douglas M. Holtby chair Randy V. J. Smallwood pres,US $ 706.472 mil (2013) 16.6% [1],2004,"Vancouver , Canada"
WestJet Airlines Ltd.,,,https://www.westjet.com,"Ed Sims ( CEO , President ) Clive Beddoe , (Chairman of the Board of Directors , Co-Founder )",CAN$ 4.733 billion (2018),"February 29, 1996; 23 years ago","Calgary , Alberta , Canada"
West Fraser Timber Co. Ltd.,Forestry,7800 (2016),http://www.westfraser.com,"Edward (Ted) Seraphim, President & CEO , Henry (Hank) Ketcham, Chairman",$4.4 billion CAN (2016),"1955 ; 64 years ago ( 1955 ) in Quesnel , British Columbia","Quesnel , British Columbia , Canada"
Whitecap Resources,Oil and Gas,,http://www.wcap.ca,"Grant Fagerheim (President, Chief Executive Officer , and Chairman)","CA$ 1,316 million (2018) [1]",2009,"Calgary , Alberta , Canada"
Waste Connections,Waste management,"16,000 [ citation needed ]",http://wasteconnections.com/,"Ronald J. Mittelstaedt, Executive Chairman",$4.92 Billion,"1997 in Folsom, California","The Woodlands, Texas Vaughan, Ontario"
Western Forest Products Inc.,Forest products,0 (2019) [1],http://www.westernforest.com/,,50.6 million CAN (2012 EBITDA) [1],"1954 (as Western Woods) 2004 (as Western Forest Products Inc.) Nanaimo , British Columbia","Vancouver , British Columbia"
Vermilion Energy Inc.,Petroleum,698 [2],http://vermilionenergy.com,"Lorenzo Donadeo , chair Anthony Marino , pres,ceo Michael Kaluza"", coo,exec vp",US$ 2.013 billion 2018 [1],1994,"Calgary, Alberta , Canada"
VersaBank,Bank,,http://www.versabank.com,"David Taylor, President & CEO",,1980,"London, Ontario , Canada"
Wesdome Gold Mines Ltd.,Gold Mine,130 [2],http://www.wesdome.com,Duncan Middlemiss President & CEO,,1976 [1],"Toronto , Ontario , Canada"
Vecima Networks,"CATV , Telecommunications , Telematics",401 (March 2017),http://www.vecima.com,"Sumit Kumar ( CEO & President ), Surinder Kumar ( Chairman ), John Hanna ( CFO )",,1988,"Victoria, British Columbia , Canada"
Waterloo Brewing Ltd.,Alcoholic drink,,https://waterloobrewing.com,,,1984,"Kitchener, Ontario , Canada"
Turquoise Hill Resources,Mining & Exploration,,http://www.turquoisehill.com,"John Macken , President Kay Priestly , ceo Christopher Bateman cfo",US $ 179.05 million (2011) 124% [3],1994,"Vancouver , Canada"
Tucows Inc.,Internet services Mobile telecommunications,,https://www.tucows.com/,,US$ 190 million (2016) [1],"Flint , Michigan (1993)","Toronto, Ontario"
UrtheCast Corp.,Internet,,http://www.urthecast.com,Don Osborne ( CEO ) ( Chair of the Board ) Dr. George Tyc ( CTO ) Sai Chu ( CFO ) Wade Larson and Scott Larson ( Co-Founders ),$15.6 million (2018) [1],,"Vancouver , British Columbia, Canada"
Uranium Participation Corporation,Financial Services,,http://www.uraniumparticipation.com,"Ron F. Hochstein, President",,2005,"Bay & Dundas, Toronto, Canada"
Transcontinental Inc.,"Mass media , direct-to-consumer marketing","More than 8,000",http://www.tc.tc/,François Olivier,$2.0 billion (2015),1976,"1 Place Ville Marie , Montreal , Quebec , Canada"
TransAlta Corporation,Electricity,"2,400+ (2011)",http://www.transalta.com,"Dawn Farrell (CEO) , Ambassador Gordon D. Giffin (Board Chair)",CA$ 2.8 billion (2010),1911,"Calgary , Alberta , Canada"
Torstar Corporation,Mass media,"4,000 (2016) [1]",http://www.torstar.com,"John Boynton, President",,1958,"One Yonge Street Toronto , Ontario"
Transat A.T. Inc.,Tour operator,"5,000 (2019) [1]",http://www.transat.com/,Jean-Marc Eustache - President and Chief Executive Officer,$3.5 billion CAD for Fiscal 2009,"Montreal , Quebec (1987)","Montreal , Quebec , Canada"
TriMetals Mining Inc. (formerly South American Silver Corp.),Mining,,http://www.trimetalsmining.com,"Matias Herrero, President & CEO Killian Ruby, Chief Financial Officer Randy Moore, VP of Exploration North America Felipe Malbran, VP of Exploration South America",,,"Vancouver , British Columbia , Canada"
Toronto-Dominion Bank,Financial services,"85,000 (FTE, F2014) [5]",https://www.td.com/about-tdbfg/our-business/index.jsp,"Bharat Masrani , CEO",$36.1 billion CAD (F2017) [3],1 February 1955 ; 64 years ago ( 1955-02-01 ) [note 1] [1] [2],"Toronto-Dominion Centre Toronto , Ontario , Canada"
TMX Group Limited,Financial services,"1,400 (2014) [1]",http://www.tmx.com,"Charles Winograd, Chairman Lou Eccleston, CEO",$717.3 million (2014) [1],1 May 2008 ; 11 years ago ( 2008-05-01 ),"Toronto , Ontario , Canada"
Trican Well Service Ltd.,Oilfield Services,,https://www.tricanwellservice.com/,"Dale Dusterhoft, CEO",$110 million (Q2 2019),"April 11, 1979 ; 40 years ago ( 1979-04-11 )","Calgary, Alberta , Canada"
Thomson Reuters Corporation,Mass media,"25,800 (Q1 2019) [3]",http://www.thomsonreuters.com/,David Thomson ( Chairman ) David W. Binet (Deputy Chairman) James C. Smith ( President and CEO ),US$5.50 billion (2018) [1],"17 April 2008 ; 11 years ago ( 2008-04-17 ) Toronto , Ontario , Canada","Toronto, Ontario, Canada"
TC Energy,Oil and gas Electricity,"7,000 [2]",http://tcenergy.com,"Russ Girling , President and CEO",C$ 13.68 billion (2018) [1],1951,"TransCanada Tower , Calgary , Alberta , Canada"
TFI International Inc.,Transport and Logistics,"17,325 (2017) [3] 17,500 (2018) [4]",http://tfiintl.com/en/home/,"Alain Bédard Chairman , President & CEO André Bérard Director","C$ 5,123,208 (2018) [1]",1957,"Saint-Laurent , Montreal , Canada"
TELUS Communications Inc.,Telecommunications IT consulting,"59,300 (2018)",https://www.telus.com/,"Darren Entwistle , President and CEO Doug French, CFO",CAD$ 14.4 billion (2018),"1990 (Edmonton, Alberta, Canada) [1]","Vancouver , British Columbia , Canada"
Temple Hotels Inc.,Real Estate,,http://www.templehotels.ca/,,,,"2600 Seven Evergreen Pl [1] , Winnipeg , Canada"
"SunOpta, Inc.","Organic food , Mineral","1,800",http://www.sunopta.com/,Joe Ennen (CEO),,"1973 as Stake Technology, changed name to SunOpta in 2003","Mississauga , Canada"
Taseko Mines Limited,"Copper and Gold , Niobium",514 (2010),http://www.tasekomines.com/,"Mr. Russell E. Hallbauer , Teseko's CEO",$218.07 million [1] USD (2007),1999,"Vancouver, British Columbia , Canada"
"Sun Life Financial, Inc.",Financial Services,"37,000 employees (2018) [2]",http://sunlife.com,"William D. Anderson, FCPA, FCA , Chairman Dean A. Connor , President and CEO,",CA$ 26.997 billion (2018) [1],"1865 ; 154 years ago ( 1865 ) Montreal , Quebec","Sun Life Global Headquarters, One York Street Toronto , Ontario"
Teck Resources Limited,Metals and Mining,"10,700 (2018)",http://www.teck.com,"Norman B. Keevil, Chair Donald R. Lindsay, Pres/CEO Ronald A. Millos, CFO",C$ 12.6 billion (2018) C$11.9 billion (2017) C$9.30 billion (2016),1906 Consolidated Mining and Smelting Company of Canada,"Vancouver , British Columbia , Canada"
Suncor Energy Inc.,Oil and gas,"13,026 (2011) [3]",http://suncor.com,"Michael Wilson, Chairman of the Board Mark Little (CEO)",$29.68 billion CAN (2015) [1],"Montreal , Quebec , Canada in 1919","Calgary , Alberta , Canada"
The Stars Group Inc.,Online Gaming,"4,500 (2019)",http://www.starsgroup.com,Rafael 'Rafi' Ashkenazi (CEO) Divyesh 'Dave' Gadhia (Chairman),$ 1.3 billion (2017) [1],2001 ; 18 years ago ( 2001 ),"Toronto , Ontario , Canada"
Stelco Holdings Inc.,Steel milling,"2,000",https://www.stelco.com/,,,1910 as Steel Company of Canada (Stelco),"Hamilton, Ontario"
TAG Oil Ltd.,,,http://www.tagoil.com/,"Alex P Guidi, Chairman Toby Pierce, CEO","$ 53,737,165 (F2015) [2]",,"Vancouver , Canada"
Stantec Inc.,Professional services Architecture design Engineering Civil engineering,"22,000 (2019)",http://www.stantec.com/,Board of Directors Aram H. Keith ( Chairman ) Gord Johnston ( CEO ) ( Director ) Douglas K. Ammerman (Director) Dr. Delores M. Etter (Director) Anthony P. Franceschini (Director) Susan E. Hartman (Director) Donald J. Lowry (Director) Ivor M. Ruste (Director),CAD $ 4.28 billion (2018) $4.03 billion (2017),"Edmonton, Alberta (1954 ( 1954 ) )","Edmonton , Alberta , Canada"
"Stingray Group, Inc.",Media,300 (2016),http://www.stingray.com,"Eric Boyko (President, CEO & founder)",US$ 71 million (2015) [1],2007,"Montreal , Quebec , Canada"
SSR Mining Inc.,Mining & Exploration,,http://www.ssrmining.com,"Paul Benson President,CEO Greg Martin CFO Kevin O'Kane COO",,1946,"Vancouver , Canada"
Spin Master Corp.,Toys Entertainment,"1,600 (2018) [2]",http://www.spinmaster.com,Ronnen Harary (CEO) Anton Rabie (CEO),$1.553 billion (2017) [1],1994 ; 25 years ago ( 1994 ),"Toronto , Ontario , Canada"
SouthGobi Resources Ltd.,,,https://www.southgobi.com,,,,
SolGold,Copper mining Gold mining,,http://www.solgold.com.au,Nicholas Mather ( Executive Director ) Brian Moller ( Non-Executive Director ) John Bovard (Non-Executive Director) Dr. Robert Weinberg (Non-Executive Director) Craig Jones (Non-Executive Director),,,"Brisbane , Queensland , Australia"
Sleep Country Canada Holdings Inc.,Retail,"1,200 [1]",http://www.sleepcountry.ca,"Stephen K. Gunn , Christine Magee , David Friesma",,"1994 ; 25 years ago ( 1994 ) ( Vancouver , British Columbia , Canada)","Toronto, Ontario , Canada"
Silvercorp Metals Inc.,Mining & Exploration,1200 (Dec'17),http://www.silvercorpmetals.com,"Rui Feng Chair, CEO",,"October 31, 1991 Spokane Resources Ltd.","Vancouver , Canada"
"Sierra Wireless, Inc.",Communication equipment,1400 (2018) [1],http://www.sierrawireless.com,"Kent Thexton, CEO David McLennan, CFO Philippe Guillemette, CTO",615 million USD (2016) [1],"Richmond , British Columbia (1993)","Richmond, British Columbia, Canada"
Shopify Inc.,Internet,"4,000+ [2]",http://shopify.com,,"US$1,073.2 million [1] (2018)",2004 ; 15 years ago ( 2004 ) Canada,"Ottawa , Ontario , Canada"
SmartCentres Real Estate Investment Trust,Real estate,300 (2016),http://www.smartcentres.com,Mitchell Goldhar (Chair of the Board) Peter Forde (President & Chief Executive Officer),$728 million CAD (2016),1994,"Vaughan , Ontario , Canada"
Sherritt International Corporation,"Mining , Oil and Gas","7,670 (2011) [3]",http://www.sherritt.com,"David Pathe, Chairman, President & CEO [1]",CA$ 1.136 billion (2014) [2],1927,"Toronto, Ontario Canada"
Shawcor Ltd,Oil & Gas Equipment Services,"6,000 - November 2017",https://www.shawcor.com/,"Virginia Shaw, former Chairman Steve Orr, CEO John Tikkanen, President",,,"Toronto, Ontario , Canada Houston , Texas , United States"
Shaw Communications Inc.,Telecommunication,"15,000 (2018)",http://www.shaw.ca/,"JR Shaw ( Executive Chairman ) Bradley S. Shaw ( CEO ) Jay Mehr ( President ) [1] Paul McAleese ( COO , Freedom Mobile ) [2]",CAD $5.243 billion (2018) [1],"1966 ; 53 years ago ( 1966 ) (as Capital Cable Television Company, Ltd.) Edmonton , Alberta , Canada","Calgary , Alberta , Canada"
SEMAFO Inc.,Gold Mines,,http://www.semafo.com,"Benoit Desormeaux, CPA, CA ( CEO ) Martin Milette, CPA, CA ( CFO )",,,"Montreal, Quebec , Canada"
